slug,display_name,country,region,status,featured,NEEDS_TAGLINE,NEEDS_HERO_IMAGE,NEEDS_SEO_DESCRIPTION,NEEDS_FILTERS
"porto","Porto","Portugal","Europe","active","YES","","YES","","YES"
"merida","Mérida","Mexico","Latin America","active","YES","","YES","","YES"
"asheville","Asheville","United States","North America","active","YES","","YES","","YES"
"sarasota","Sarasota","United States","North America","active","YES","","YES","","YES"
"chiang-mai","Chiang Mai","Thailand","Southeast Asia","active","YES","","YES","","YES"
"medellin","Medellín","Colombia","Latin America","active","YES","","YES","","YES"
"santa-fe","Santa Fe","United States","North America","active","YES","","YES","","YES"
"bend","Bend","United States","North America","active","YES","","YES","","YES"
"greenville-sc","Greenville","United States","North America","active","YES","","YES","","YES"
"sedona","Sedona","United States","North America","active","YES","","YES","","YES"
"st-augustine","St. Augustine","United States","North America","active","YES","","YES","","YES"
"victoria-bc","Victoria","Canada","North America","active","YES","","YES","","YES"
"halifax","Halifax","Canada","North America","active","YES","","YES","","YES"
"puerto-rico","Puerto Rico","United States Territory","Unknown","active","YES","","YES","","YES"
"roatan","Roatán","Honduras","Central America","active","YES","","YES","","YES"
"lisbon","Lisbon","Portugal","Europe","active","YES","","YES","","YES"
"valencia","Valencia","Spain","Europe","active","YES","","YES","","YES"
"oaxaca","Oaxaca","Mexico","Latin America","active","YES","","YES","","YES"
"chattanooga","Chattanooga","United States","North America","active","YES","","YES","","YES"
"tucson","Tucson","United States","North America","active","YES","","YES","","YES"
"panama-city","Panama City","Panama","Central America","active","YES","","YES","","YES"
"malaga","Málaga","Spain","Europe","active","YES","","YES","","YES"
"algarve","Algarve","Portugal","Europe","active","YES","","YES","","YES"
"athens","Athens","Greece","Europe","active","YES","","YES","","YES"
"florence","Florence","Italy","Europe","active","YES","","YES","","YES"
"split","Split","Croatia","Europe","active","YES","","YES","","YES"
"san-miguel","San Miguel de Allende","Mexico","Latin America","active","YES","","YES","","YES"
"puerto-vallarta","Puerto Vallarta","Mexico","Latin America","active","YES","","YES","","YES"
"cuenca","Cuenca","Ecuador","Latin America","active","YES","","YES","","YES"
"costa-rica","Central Valley, Costa Rica","Costa Rica","Central America","active","YES","","YES","","YES"
"penang","Penang","Malaysia","Southeast Asia","coming-soon","NO","","YES","","YES"
"da-nang","Da Nang","Vietnam","Southeast Asia","coming-soon","NO","","YES","","YES"
"naples-fl","Naples","United States","North America","coming-soon","NO","","YES","","YES"
"boise","Boise","United States","North America","coming-soon","NO","","YES","","YES"
"fort-collins","Fort Collins","United States","North America","coming-soon","NO","","YES","","YES"
"scottsdale","Scottsdale","United States","North America","coming-soon","NO","","YES","","YES"
"burlington-vt","Burlington","United States","North America","coming-soon","NO","","YES","","YES"
"fredericksburg-tx","Fredericksburg","United States","North America","coming-soon","NO","","YES","","YES"
"vancouver","Vancouver","Canada","North America","coming-soon","NO","","YES","","YES"
"kelowna","Kelowna","Canada","North America","coming-soon","NO","","YES","","YES"
"quebec-city","Québec City","Canada","North America","coming-soon","NO","","YES","","YES"
"ottawa","Ottawa","Canada","North America","coming-soon","NO","","YES","","YES"
"canmore","Canmore","Canada","North America","coming-soon","NO","","YES","","YES"
"charlottetown","Charlottetown","Canada","North America","coming-soon","NO","","YES","","YES"
"niagara-on-the-lake","Niagara-on-the-Lake","Canada","North America","coming-soon","NO","","YES","","YES"
"nanaimo","Nanaimo","Canada","North America","coming-soon","NO","","YES","","YES"
"ambergris-caye","Ambergris Caye","Belize","Central America","coming-soon","NO","","YES","","YES"
"las-terrenas","Las Terrenas","Dominican Republic","Caribbean","coming-soon","NO","","YES","","YES"
"barbados","Barbados","Barbados","Caribbean","coming-soon","NO","","YES","","YES"
"st-croix","St. Croix","US Virgin Islands","Unknown","coming-soon","NO","","YES","","YES"
"turks-caicos","Turks & Caicos","Turks and Caicos Islands","Unknown","coming-soon","NO","","YES","","YES"
"grenada","Grenada","Grenada","Caribbean","coming-soon","NO","","YES","","YES"
"st-kitts","St. Kitts","Saint Kitts and Nevis","Unknown","coming-soon","NO","","YES","","YES"
"cayman-islands","Cayman Islands","Cayman Islands","Caribbean","coming-soon","NO","","YES","","YES"
"playa-del-carmen","Playa del Carmen","Mexico","Latin America","coming-soon","NO","","YES","","YES"
"ajijic","Ajijic & Lake Chapala","Mexico","Latin America","coming-soon","NO","","YES","","YES"
"cartagena","Cartagena","Colombia","Latin America","coming-soon","NO","","YES","","YES"
"montevideo","Montevideo","Uruguay","Latin America","coming-soon","NO","","YES","","YES"
"buenos-aires","Buenos Aires","Argentina","Latin America","coming-soon","NO","","YES","","YES"
"lake-atitlan","Lake Atitlán","Guatemala","Central America","coming-soon","NO","","YES","","YES"
"boquete","Boquete","Panama","Central America","coming-soon","NO","","YES","","YES"
"barcelona","Barcelona","Spain","Europe","coming-soon","NO","","YES","","YES"
"alicante","Alicante","Spain","Europe","coming-soon","NO","","YES","","YES"
"prague","Prague","Czech Republic","Europe","coming-soon","NO","","YES","","YES"
